floorplan_id,type,subtype,adversarial_severity,rendering_style,corruption_type,corruption_severity,difficulty,prompt_type,ground_truth,predicted,reasoning,confidence,reasoning_length,is_correct
46e19a06-3562-4cfd-a100-3787f9a879e9,normal,n/a,n/a,normal,blur,3,medium,minimal,office,closet,Mock reasoning from test client,medium,5,False
46e19a06-3562-4cfd-a100-3787f9a879e9,normal,n/a,n/a,sketchy_medium,jpeg,80,medium,minimal,office,bedroom,Mock reasoning from test client,medium,5,False
46e19a06-3562-4cfd-a100-3787f9a879e9,normal,n/a,n/a,sketchy_extreme,jpeg,20,medium,minimal,office,bedroom,Mock reasoning from test client,medium,5,False
3480d8d3-aaea-4560-ade4-f716be9ca952,adversarial,window_deception,medium,normal,skew,5,easy,minimal,office,closet,Mock reasoning from test client,medium,5,False
3480d8d3-aaea-4560-ade4-f716be9ca952,adversarial,window_deception,medium,sketchy_medium,skew,5,easy,minimal,office,kitchen,Mock reasoning from test client,medium,5,False
3480d8d3-aaea-4560-ade4-f716be9ca952,adversarial,window_deception,medium,sketchy_extreme,none,0,easy,minimal,office,bathroom,Mock reasoning from test client,medium,5,False
0010480e-bf62-4b0a-8335-5bd56c1e97af,normal,n/a,n/a,normal,jpeg,50,medium,minimal,kitchen,bathroom,Mock reasoning from test client,medium,5,False
0010480e-bf62-4b0a-8335-5bd56c1e97af,normal,n/a,n/a,sketchy_medium,none,0,medium,minimal,kitchen,bathroom,Mock reasoning from test client,medium,5,False
0010480e-bf62-4b0a-8335-5bd56c1e97af,normal,n/a,n/a,sketchy_extreme,blur,3,medium,minimal,kitchen,closet,Mock reasoning from test client,medium,5,False
3ada9610-ee24-4199-b5dc-760335a8fb7e,adversarial,shape_confusion,medium,normal,blur,1,easy,minimal,living_room,bedroom,Mock reasoning from test client,medium,5,False
3ada9610-ee24-4199-b5dc-760335a8fb7e,adversarial,shape_confusion,medium,sketchy_medium,blur,1,easy,minimal,living_room,closet,Mock reasoning from test client,medium,5,False
3ada9610-ee24-4199-b5dc-760335a8fb7e,adversarial,shape_confusion,medium,sketchy_extreme,contrast,50,easy,minimal,living_room,closet,Mock reasoning from test client,medium,5,False
f38defea-63a4-4c25-ba42-971fa9b0f9da,normal,n/a,n/a,normal,jpeg,80,easy,minimal,kitchen,office,Mock reasoning from test client,medium,5,False
f38defea-63a4-4c25-ba42-971fa9b0f9da,normal,n/a,n/a,sketchy_medium,jpeg,50,easy,minimal,kitchen,bedroom,Mock reasoning from test client,medium,5,False
f38defea-63a4-4c25-ba42-971fa9b0f9da,normal,n/a,n/a,sketchy_extreme,skew,10,easy,minimal,kitchen,office,Mock reasoning from test client,medium,5,False
a3832326-b6ad-4cc3-a95c-0dc9cd97a444,adversarial,adjacency_violation,slight,normal,none,0,medium,minimal,bedroom,living_room,Mock reasoning from test client,medium,5,False
a3832326-b6ad-4cc3-a95c-0dc9cd97a444,adversarial,adjacency_violation,slight,sketchy_medium,blur,1,medium,minimal,bedroom,bedroom,Mock reasoning from test client,medium,5,True
a3832326-b6ad-4cc3-a95c-0dc9cd97a444,adversarial,adjacency_violation,slight,sketchy_extreme,skew,10,medium,minimal,bedroom,bedroom,Mock reasoning from test client,medium,5,True
efbfc002-6f1a-4e62-b622-bccbb78d49ca,normal,n/a,n/a,normal,blur,5,easy,minimal,kitchen,bedroom,Mock reasoning from test client,medium,5,False
efbfc002-6f1a-4e62-b622-bccbb78d49ca,normal,n/a,n/a,sketchy_medium,blur,1,easy,minimal,kitchen,bathroom,Mock reasoning from test client,medium,5,False
